Ticket,Fecha,Producto,Cantidad,Precio,Total_Ítem,Subtotal,Descuento,IVA,Total,Método_Pago
00B8DM,2025-07-31,Pan Baguette,3,31.2,93.59,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Pollo 1kg,1,123.24,123.24,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Sartén antiadherente,1,352.0,352.0,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Huevos 12pz,8,79.19,633.48,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Detergente 2kg,1,88.05,88.05,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Leche 1L,2,25.15,50.3,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Pollo 1kg,1,119.69,119.69,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Audífonos,1,1522.42,1522.42,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Pan Baguette,3,29.87,89.61,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Huevos 12pz,2,76.15,152.29,4814.12,0.0,770.26,5650.43,Transferencia
00B8DM,2025-07-31,Licuadora,2,794.72,1589.45,4814.12,0.0,770.26,5650.43,Transferencia
026FPZ,2025-08-01,Refresco 2L,1,33.39,33.39,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Audífonos,1,1451.79,1451.79,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Pan Baguette,2,29.94,59.88,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Detergente 2kg,8,89.55,716.38,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Huevos 12pz,6,83.64,501.83,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Licuadora,1,785.17,785.17,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Microondas,1,2004.39,2004.39,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Pan Baguette,3,28.63,85.88,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Refresco 2L,2,35.67,71.34,6392.05,319.6,971.59,7068.63,Transferencia
026FPZ,2025-08-01,Sartén antiadherente,2,341.0,682.0,6392.05,319.6,971.59,7068.63,Transferencia
027GRW,2025-08-18,Detergente 2kg,1,88.43,88.43,6262.95,313.15,951.97,6852.83,Transferencia
